action,type,guard,break_glass,registry_line,domain,current_owner,direct_branch_line,target_owner
a:bx_mt,edit,require_redis,False,279,barter,src/bot/bot.js,33750,src/bot/domains/barter/callbacks.js
a:bx_my,edit,require_redis,False,280,barter,src/bot/bot.js,34966,src/bot/domains/barter/callbacks.js
a:bx_my_arch,edit,require_redis,False,281,barter,src/bot/bot.js,34972,src/bot/domains/barter/callbacks.js
a:bx_new,edit,require_redis,False,282,barter,src/bot/bot.js,34978,src/bot/domains/barter/callbacks.js
a:bx_open,edit,none,False,283,barter,src/bot/bot.js,33603,src/bot/domains/barter/callbacks.js
a:bx_otclr,edit,require_redis,False,284,barter,src/bot/bot.js,35320,src/bot/domains/barter/callbacks.js
a:bx_otdone,edit,none,False,285,barter,src/bot/bot.js,35342,src/bot/domains/barter/callbacks.js
a:bx_otnext,edit,none,False,286,barter,src/bot/bot.js,35353,src/bot/domains/barter/callbacks.js
a:bx_otpick,edit,require_redis,False,287,barter,src/bot/bot.js,35275,src/bot/domains/barter/callbacks.js
a:bx_otskip,edit,none,False,288,barter,src/bot/bot.js,35377,src/bot/domains/barter/callbacks.js
a:bx_ott,edit,require_redis,False,289,barter,src/bot/bot.js,35289,src/bot/domains/barter/callbacks.js
a:bx_ottags,edit,require_redis,False,290,barter,src/bot/bot.js,35265,src/bot/domains/barter/callbacks.js
a:bx_params,edit,require_redis,False,291,barter,src/bot/bot.js,35057,src/bot/domains/barter/callbacks.js
a:bx_partner_folder_clear,edit,require_redis,False,292,barter,src/bot/bot.js,36251,src/bot/domains/barter/callbacks.js
a:bx_partner_folder_pick,edit,require_redis,False,293,barter,src/bot/bot.js,36215,src/bot/domains/barter/callbacks.js
a:bx_partner_folder_set,edit,require_redis,False,294,barter,src/bot/bot.js,36234,src/bot/domains/barter/callbacks.js
a:bx_pause,edit,require_redis,False,295,barter,src/bot/bot.js,35576,src/bot/domains/barter/callbacks.js
a:bx_pin_clear,edit,require_redis,False,296,barter,src/bot/bot.js,34875,src/bot/domains/barter/callbacks.js
