label,occurrences,files,functions,callbacks_sample,flags,source_sample
💬 В работе,1,api/qstash/monetization-retry.js,processOrphanedAutohealBatch,a:brand_apps|ws:0|s:in_progress|p:0,,api/qstash/monetization-retry.js:451
💬 Написать,1,src/bot/bot.js,renderBxPublicView,a:bx_msg|ws:${…}|o:${…}|p:${…}|h:${…},,src/bot/bot.js:16501
💬 Ответить,1,api/qstash/monetization-retry.js,processOrphanedAutohealBatch,a:brand_app_chat|id:${…},,api/qstash/monetization-retry.js:429
💬 Перег. ${…},1,src/bot/bot.js,brandDealsTabsKb,a:brand_deals|ws:0|st:negotiation|p:0,,src/bot/bot.js:13252
💰 Деньги ₽,1,src/bot/bot.js,gwNewStepPrizeKb,a:gw_prize|ws:${…}|t:rub,,src/bot/bot.js:8675
💰 Платежи,1,src/bot/bot.js,renderAdminOps,a:admin_payments,,src/bot/bot.js:38479
💰 Цены,1,src/bot/bot.js,renderAdminFounder,a:admin_founder_set_prices,,src/bot/bot.js:39999
💳 ${…} · ${…}⭐️,1,src/bot/bot.js,renderBrandPassTopup,a:brand_buy|ws:${…}|pack:${…},,src/bot/bot.js:18077
💳 ORPHANED,1,src/bot/opsAlerts.js,flushOpsAlerts,a:admin_payments|st:ORPHANED|p:0,,src/bot/opsAlerts.js:231
💳 Докупить кредиты,1,src/bot/bot.js,renderBrandPlan,a:brand_pass|ws:${…},,src/bot/bot.js:18133
💳 Кредиты: ${…}${…},1,src/bot/bot.js,bxBrandMenuKb,a:brand_pass|ws:${…},,src/bot/bot.js:6248
💳 Купить кредиты,1,api/qstash/monetization-retry.js,processOrphanedAutohealBatch,a:brand_pass|ws:0|ret:offer|id:${…},,api/qstash/monetization-retry.js:732
💳 Купить размещение,1,src/bot/bot.js,renderOfficialManageView,a:off_buy_home|ws:${…}|o:${…}|p:${…}|back:${…},,src/bot/bot.js:17477
💳 Оплата ${…},1,src/bot/bot.js,brandDealsTabsKb,a:brand_deals|ws:0|st:paid|p:0,,src/bot/bot.js:13254
💳 Прием: ${…},1,src/bot/bot.js,renderAdminSystem,a:admin_pay_accept_toggle,,src/bot/bot.js:38898
💸 ₽,1,src/bot/bot.js,bxCompKb,a:bx_comp|ws:${…}|p:rub,,src/bot/bot.js:8159
📁 ${…},1,src/bot/bot.js,renderFoldersMy,a:folders_home|ws:${…},,src/bot/bot.js:15312
📁 Архив,1,src/bot/bot.js,renderBxMy,a:bx_my_arch|ws:${…}|p:0,,src/bot/bot.js:15949
📁 Открыть папки Workspace,1,src/bot/bot.js,getBot,a:folders_home|ws:${…},mixed_language,src/bot/bot.js:24244
📂 Текущий канал,1,src/bot/bot.js,mainMenuCreatorCurrentKb,a:ws_open|ws:${…},,src/bot/bot.js:3563
📄 Коротко,1,src/bot/bot.js,renderWsShareMenu,a:ws_share_send|ws:${…}|v:short,,src/bot/bot.js:11060
📄 Подробно,1,src/bot/bot.js,renderWsShareMenu,a:ws_share_send|ws:${…}|v:long,,src/bot/bot.js:11061
📅 7 дней,1,src/bot/bot.js,renderOfficialRequestHome,a:off_req|ws:${…}|o:${…}|days:7|p:${…}|back:${…},,src/bot/bot.js:17549
📈 Метрики,1,src/bot/bot.js,renderAdminOps,a:admin_metrics|d:14,,src/bot/bot.js:38484
📊 Открыть #${…},1,src/bot/bot.js,getBot,,,src/bot/bot.js:32726
📋 Модераторы,1,src/bot/bot.js,renderAdminSystem,a:admin_mod_list,,src/bot/bot.js:38912
📋 Показать бренды,1,src/bot/bot.js,brandDirFiltersKb,a:brands_home|p:0,,src/bot/bot.js:7389
📋 Показать креаторов,1,src/bot/bot.js,bxFiltersKb,a:bx_feed|ws:${…}|p:0|h:${…},,src/bot/bot.js:8479
📋 Скопировать ID: ${…},1,src/bot/bot.js,renderAdminUserCard,a:adm_ucopy|id:${…},mixed_language,src/bot/bot.js:40694
📋 Смотреть оффер,1,src/bot/bot.js,bxThreadKb,a:bx_pub|ws:${…}|o:${…}|p:${…}|h:${…},,src/bot/bot.js:8644
📌 IG шаблоны,1,src/bot/bot.js,renderWsPublicProfile,a:ws_ig_templates|ws:${…},mixed_language,src/bot/bot.js:11866
📌 В шаблон,1,src/bot/bot.js,renderAdminDmTemplateView,,,src/bot/bot.js:39929
📌 Все ${…},1,src/bot/bot.js,brandDealsTabsKb,a:brand_deals|ws:0|st:all|p:0,,src/bot/bot.js:13258
📌 Закрепить в ленте,1,src/bot/bot.js,renderBxView,a:bx_pin_set|ws:${…}|o:${…},,src/bot/bot.js:16214
📌 Открыть шаблон,1,src/bot/bot.js,getBot,a:admin_umsg_tpl_view|tid:${…}|p:0,,src/bot/bot.js:20644
📌 Пин в ленте,1,src/bot/bot.js,renderWsPro,a:ws_pro_pin|ws:${…},,src/bot/bot.js:15267
📌 Снять пин,1,src/bot/bot.js,renderBxView,a:bx_pin_clear|ws:${…}|o:${…},,src/bot/bot.js:16212
📌 Стадия сделки,1,src/bot/bot.js,renderBrandAppView,a:brand_deal_view|id:${…}|st:${…}|p:0|ab:${…}.${…},,src/bot/bot.js:13798
📌 Шаблоны (админ),1,src/bot/bot.js,getBot,a:admin_umsg_tpls|p:0,,src/bot/bot.js:31624
📎 Медиа,1,src/bot/bot.js,renderBxView,a:bx_media_step|ws:${…}|o:${…}|back:${…}|p:${…},,src/bot/bot.js:16199
📎 Прайс / медиа‑кит,1,src/bot/bot.js,renderBrandDealTemplates,a:brand_deal_tpl|id:${…}|k:price|b:${…}|p:${…}${…},,src/bot/bot.js:14039
📎 Скрин,1,src/bot/bot.js,bxProofsKb,a:bx_proof_photo|ws:${…}|t:${…}${…},,src/bot/bot.js:18006
📚 Все тикеты,1,src/bot/bot.js,renderAdminSupportHome,a:admin_support_list|s:all|p:0,,src/bot/bot.js:38632
📜 Аудит,1,src/bot/bot.js,renderAdminOps,a:aud|h:24|p:0,,src/bot/bot.js:38482
📜 Журнал,1,src/bot/bot.js,renderLeadView,,,src/bot/bot.js:12416
📝,1,src/bot/bot.js,renderAdminUsers,a:adm_unote|id:${…}|f:${…}|p:${…},,src/bot/bot.js:40561
📝 В очередь публикаций,1,src/bot/bot.js,renderOfficialManageView,a:off_req_home|ws:${…}|o:${…}|p:${…}|back:${…},,src/bot/bot.js:17472
📝 Добавить заметку,1,src/bot/bot.js,renderLeadNotesViewer,,,src/bot/bot.js:12674
📞 Контакт,1,src/bot/bot.js,renderBrandProfileHome,a:brand_prof_set${…}|f:ct|from:home,,src/bot/bot.js:6762
📣,1,src/bot/bot.js,curatorWsKb,a:cur_gw_remind_q|ws:${…}|i:${…},,src/bot/bot.js:18783
📣 Интеграция,1,src/bot/bot.js,bxKindKb,a:bx_kind|ws:${…}|k:integration,,src/bot/bot.js:8095
📣 К списку,1,src/bot/bot.js,getBot,,,src/bot/bot.js:32726
